train/samples,train/episodes,train/grad_norm,train/lr,train/update_s,_step,train/epochs,train/loss,train/dataloading_s,_runtime,train/steps,_timestamp
185600,522.4454330284613,0.30211406499147414,1.7781015828434993e-05,6.117456210841483,11600,0.8399444260907737,0.027662811800837517,0.020490769453754182,72632.255686467,11600,1787216978.3141184
188800,531.4531129082624,0.29533206559717656,1.7560177735074493e-05,6.116707943383663,11800,0.8544262265406146,0.03364790230989456,0.020434665160719304,73854.638749106,11800,1787218206.5606563
192000,540.4607927880634,0.302285478040576,1.7337668371831832e-05,6.087504962159146,12000,0.8689080269904556,0.04090566188097,0.02036139473580988,75075.977382783,12000,1787219428.9443784
195200,549.4684726678645,0.300843578055501,1.711358533866773e-05,6.082416964980948,12200,0.8833898274402965,0.03198232129216194,0.020286777541041374,76298.64903608,12200,1787220650.2829733
198400,558.4761525476655,0.30212232150137425,1.6888026925806563e-05,6.089383121553401,12400,0.8978716278901374,0.037918221205472946,0.020133012576261534,77522.200692548,12400,1787221872.9545987
201600,567.4838324274666,0.30279957607388497,1.6661092070622978e-05,6.0935375897758055,12600,0.9123534283399783,0.02453756518661976,0.02024658858019393,78744.68444832,12600,1787223096.5062842
204800,576.4915123072676,0.30116380281746385,1.6432880314244722e-05,6.088038909135503,12800,0.9268352287898193,0.024638867005705833,0.020317560838884675,79967.881870695,12800,1787224318.9900818
208000,585.4991921870687,0.3000870142877102,1.620349175789063e-05,6.091584442715975,13000,0.9413170292396602,0.020005449652671814,0.020335391256958248,81188.59789849,13000,1787225542.187288
211200,594.5068720668697,0.29886799611151216,1.5973027018962843e-05,6.079144681127218,13200,0.9557988296895011,0.030027754604816437,0.02037395396793727,82411.767854732,13200,1787226762.9041288
214400,603.5145519466707,0.3042811861634254,1.574158718691283e-05,6.09136563373846,13400,0.9702806301393421,0.06155342981219292,0.02042429622262716,83635.845078095,13400,1787227986.0734754
217600,612.5222318264719,0.30800056912004947,1.550927377890004e-05,6.095988658126153,13600,0.984762430589183,0.024709496647119522,0.020389142144704237,84865.37518923,13600,1787229210.1507657
220800,621.5299117062729,0.30678964041173457,1.5276188695263303e-05,6.123357238170574,13800,0.9992442310390239,0.02317699044942856,0.0203208122155047,86097.902232333,13800,1787230439.6807926
224000,630.537591586074,0.29799251072108746,1.504243417482381e-05,6.126845482771168,14000,1.0137260314888648,0.02300311252474785,0.03158715400175424,87325.060624608,14000,1787231672.2078848
227200,639.545271465875,0.30326535157859325,1.480811275003989e-05,6.1110273781613795,14200,1.0282078319387058,0.034106358885765076,0.020393872130080128,88551.331165268,14200,1787232899.3662696
230400,648.5529513456761,0.30292124979197976,1.4573327202032854e-05,6.10656541579956,14400,1.0426896323885466,0.023224901407957077,0.020415202961594332,89777.469866252,14400,1787234125.636647
233600,657.5606312254771,0.30237039245665076,1.4338180515503769e-05,6.105878803214291,14600,1.0571714328383877,0.015084955841302872,0.020422042040736416,91004.370157094,14600,1787235351.7753363
236800,666.5683111052782,0.30376951560378074,1.4102775833561066e-05,6.109687973055989,14800,1.0716532332882285,0.019053952768445015,0.020431523327424657,92230.641630845,14800,1787236578.675961
240000,675.5759909850792,0.3047461461275816,1.3867216412478388e-05,6.1065793448057955,15000,1.0861350337380695,0.02724510245025158,0.020396430762775707,93460.952749844,15000,1787237804.947384
243200,684.5836708648803,0.30597860671579835,1.3631605576403172e-05,6.127001002426841,15200,1.1006168341879103,0.020137634128332138,0.02030104940960882,94701.526600669,15200,1787239035.2584262
246400,693.5913507446813,0.3007373924553394,1.3396046672035113e-05,6.178402496738126,15400,1.1150986346377514,0.026271138340234756,0.02024685220734682,95928.388281398,15400,1787240275.83244
249600,702.5990306244825,0.31293352104723454,1.3160643023294971e-05,6.1095580971727035,15600,1.1295804350875922,0.019994230940937996,0.020383060919702985,97154.501693628,15600,1787241502.6938908
252800,711.6067105042835,0.3182889419049025,1.2925497886003236e-05,6.105732735058991,15800,1.1440622355374332,0.019120654091238976,0.020444737760990393,98380.807320464,15800,1787242728.8071158
256000,720.6143903840846,0.3103681246936321,1.2690714402588741e-05,6.106764812795445,16000,1.158544035987274,0.0316864550113678,0.020381129344459622,99608.258859892,16000,1787243955.1129847
259200,729.6220702638856,0.3088815824687481,1.2456395556847004e-05,6.112581316424767,16200,1.173025836437115,0.028107697144150734,0.02034242425550474,100834.932737469,16200,1787245182.5644603
262400,738.6297501436867,0.3063737830519676,1.2222644128768047e-05,6.108538049853232,16400,1.187507636886956,0.02974453568458557,0.020447907773195766,102062.26066191,16400,1787246409.2386181
265600,747.6374300234877,0.30907467618584633,1.1989562649453809e-05,6.111959807507519,16600,1.201989437336797,0.021318651735782623,0.02035712010168936,103301.664765004,16600,1787247636.5662613
268800,756.6451099032887,0.30463358290493486,1.1757253356144516e-05,6.1726949370242075,16800,1.2164712377866378,0.023340445011854172,0.02017255056183785,104528.368536778,16800,1787248875.9704006
272000,765.6527897830898,0.31080755464732646,1.1525818147374104e-05,6.108742248073977,17000,1.2309530382364788,0.02422252669930458,0.02042598245840054,105754.682983086,17000,1787250102.674147
275200,774.6604696628908,0.3118873170018196,1.1295358538274151e-05,6.106796947490657,17200,1.2454348386863197,0.02395709976553917,0.020399630504252853,106981.773562195,17200,1787251328.988735
278400,783.6681495426919,0.3140548851341009,1.1065975616045977e-05,6.1107525346748295,17400,1.2599166391361607,0.010014355182647705,0.020350366820057388,108208.893981257,17400,1787252556.0793037
281600,792.6758294224929,0.3062173702567816,1.0837769995620434e-05,6.1108524639884125,17600,1.2743984395860015,0.026998279616236687,0.02039512824441772,109435.827508167,17600,1787253783.199752
284800,801.683509302294,0.3186907648295164,1.061084177552491e-05,6.110006020713772,17800,1.2888802400358426,0.027786750346422195,0.020319739159021993,110662.605602123,17800,1787255010.1332343
288000,810.6911891820951,0.3182765156775713,1.0385290493976809e-05,6.109086940845009,18000,1.3033620404856834,0.022661792114377022,0.020413311182055624,111905.873752336,18000,1787256236.9111948
291200,819.6988690618962,0.32245245404541495,1.0161215085222727e-05,6.1921316637526616,18200,1.3178438409355242,0.02526531182229519,0.020087703857570888,113132.59298624,18200,1787257480.1792471
294400,828.7065489416972,0.307840082347393,9.938713836142703e-06,6.108873993419984,18400,1.3323256413853652,0.035961657762527466,0.02036579428589903,114359.342251908,18400,1787258706.8992956
297600,837.7142288214983,0.3184254823625088,9.717884343138353e-06,6.109016479946731,18600,1.346807441835206,0.012532046064734459,0.02036417881899979,115586.764989534,18600,1787259933.6480474
300800,846.7219087012993,0.32751799464225767,9.498823469323766e-06,6.112384745773161,18800,1.361289242285047,0.021052684634923935,0.020362174229230732,116814.46303676,18800,1787261161.0707095
304000,855.7295885811004,0.31322161689400674,9.281627302038227e-06,6.1137290528789165,19000,1.375771042734888,0.015378529205918312,0.02040929157024948,118042.089238192,19000,1787262388.7689748
307200,864.7372684609014,0.3120969425886869,9.066391110699109e-06,6.1132871996914036,19200,1.390252843184729,0.02490806020796299,0.020449985346349422,119269.169876581,19200,1787263616.3949895
310400,873.7449483407025,0.32114162102341653,8.853209305013566e-06,6.110618209948006,19400,1.4047346436345698,0.014583040028810501,0.020413453875808046,120512.245231003,19400,1787264843.4756224
313600,882.7526282205035,0.31837955474853513,8.642175393567296e-06,6.190755082431715,19600,1.4192164440844108,0.02158251218497753,0.02037091585167218,121739.465691037,19600,1787266086.550798
316800,891.7603081003047,0.321408419534564,8.433381942808573e-06,6.1113730739598395,19800,1.4336982445342517,0.03581523895263672,0.020395928684738465,122966.321955482,19800,1787267313.7713299
320000,900.7679879801057,0.32127817288041116,8.226920536445617e-06,6.109541207648581,20000,1.4481800449840927,0.021600062027573586,0.020381332971155644,124241.120234347,20000,1787268540.6278179
323200,909.7756678599067,0.3082850529998541,8.022881735274855e-06,6.123722257039626,20200,1.4626618454339335,0.01891721785068512,0.020453096513811032,125470.751001073,20200,1787269815.4267569
326400,918.7833477397078,0.3080412083864212,7.82135503745803e-06,6.123354703605583,20400,1.4771436458837746,0.019017226994037628,0.02037001760530984,126699.360431486,20400,1787271045.0566156
329600,927.7910276195088,0.3170454075187445,7.622428839265326e-06,6.118261330174864,20600,1.4916254463336154,0.012150983326137066,0.020346925576159264,127927.244647424,20600,1787272273.6659598
332800,936.7987074993099,0.31673327073454854,7.426190396301838e-06,6.114621323766187,20800,1.5061072467834564,0.018690582364797592,0.020339721761993133,129167.92576391,20800,1787273501.5502045
336000,945.8063873791109,0.3234015757590532,7.232725785234393e-06,6.179030116996146,21000,1.5205890472332972,0.014226908795535564,0.0201377443165984,130394.776493727,21000,1787274742.2316997
339200,954.814067258912,0.3120595370978117,7.042119866035477e-06,6.1094859608652765,21200,1.5350708476831383,0.02253335528075695,0.020345343689259606,131622.005480478,21200,1787275969.0822797
342400,963.821747138713,0.3164104246348143,6.8544562447608205e-06,6.111325967604062,21400,1.549552648132979,0.03775370121002197,0.02036945542495232,132849.365930838,21400,1787277196.3111625
345600,972.8294270185141,0.3181654266268015,6.669817236877067e-06,6.1120833114307604,21600,1.5640344485828201,0.013128661550581455,0.020337401423894334,134077.905694168,21600,1787278423.671564
348800,981.8371068983151,0.31069144047796726,6.488283831155453e-06,6.117839799811191,21800,1.578516249032661,0.022064631804823875,0.02044843532494269,135304.584083837,21800,1787279652.2113352
352000,990.8447867781163,0.32499582909047603,6.309935654147447e-06,6.10856104081613,22000,1.592998049482502,0.027708418667316437,0.020446357003820595,136532.787516224,22000,1787280878.889649
355200,999.8524666579173,0.31690610855817797,6.134850935257965e-06,6.116111973870429,22200,1.6074798499323428,0.02431798353791237,0.020485725551261567,137771.017333867,22200,1787282107.0931222
358400,1008.8601465377184,0.3135742364823818,5.963106472431308e-06,6.166682582809298,22400,1.6219616503821839,0.027293948456645012,0.020257350500032772,139000.804572068,22400,1787283345.3229072
361600,1017.8678264175194,0.3243699191510677,5.794777598465078e-06,6.124012764440558,22600,1.6364434508320247,0.027288148179650307,0.020494420305476525,140229.490065744,22600,1787284575.110122
364800,1026.8755062973205,0.32259553410112857,5.629938147966722e-06,6.118513866066933,22800,1.6509252512818655,0.01468196976929903,0.020475843288877513,141457.472555339,22800,1787285803.7957027
368000,1035.8831861771216,0.3195704274624586,5.468660424967222e-06,6.114882720645692,23000,1.6654070517317066,0.018230292946100235,0.020556510169699324,142685.932108456,23000,1787287031.7777762
371200,1044.8908660569225,0.322947196662426,5.3110151712061625e-06,6.117313593305007,23200,1.6798888521815474,0.02014157921075821,0.020526004393177574,143915.651033779,23200,1787288260.2376745
374400,1053.8985459367236,0.3278682927042246,5.157071535102071e-06,6.123616407567751,23400,1.6943706526313884,0.024886932224035263,0.02050906871445477,145144.28471153,23400,1787289489.9562016
377600,1062.9062258165247,0.317121132016182,5.00689704142162e-06,6.11819583439501,23600,1.7088524530812292,0.022177640348672867,0.02051119107432896,146383.118284717,23600,1787290718.5896668
380800,1071.9139056963256,0.3162242916226387,4.86055756166106e-06,6.169513651031012,23800,1.7233342535310703,0.013958124443888664,0.020358249472337775,147613.489489388,23800,1787291957.4238303
384000,1080.9215855761267,0.32666725866496565,4.718117285152776e-06,6.12701444233011,24000,1.737816053980911,0.014974193647503853,0.020432128318934702,148840.136384374,24000,1787293187.7946475
387200,1089.9292654559279,0.31871324464678763,4.579638690909734e-06,6.108275867496268,24200,1.7522978544307521,0.014589821919798851,0.020535664908238688,150066.797133393,24200,1787294414.4420037
390400,1098.936945335729,0.34113993220031263,4.4451825202201374e-06,6.108404950609547,24400,1.766779654880593,0.017454953864216805,0.020480375392071436,151292.757432307,24400,1787295641.1027532
393600,1107.9446252155299,0.3270074810832739,4.314807750004269e-06,6.10481491029379,24600,1.781261455330434,0.03633750602602959,0.02053570412477711,152521.234344989,24600,1787296867.0630922
396800,1116.952305095331,0.32332490280270576,4.188571566945261e-06,6.117445735015499,24800,1.7957432557802748,0.012638709507882595,0.02049814168858575,153748.498354818,24800,1787298095.5401456
400000,1125.959984975132,0.3216758996248245,4.066529342405158e-06,6.111432660260471,25000,1.8102250562301159,0.0410509817302227,0.020465316146146505,154975.906859575,25000,1787299322.8049617
403200,1134.9676648549332,0.325406564027071,3.948734608137178e-06,6.112523234858818,25200,1.8247068566799567,0.02158449962735176,0.02028101453674026,156216.887140325,25200,1787300550.2122781
406400,1143.975344734734,0.31918232157826426,3.8352390328049145e-06,6.180212166831188,25400,1.8391886571297977,0.021675674244761467,0.020365416145941707,157458.128307254,25400,1787301791.1923325
409600,1152.9830246145352,0.31219214871525763,3.726092399318777e-06,6.181664324613812,25600,1.8536704575796386,0.01591787114739418,0.020311677801073527,158698.659842259,25600,1787303032.4338882
412800,1161.9907044943363,0.3219001231342554,3.6213425829995413e-06,6.17811651884549,25800,1.8681522580294796,0.021878832951188087,0.020301504965173082,159940.102687255,25800,1787304272.9654088
416000,1170.9983843741375,0.33392940416932104,3.5210355305786596e-06,6.182635424749169,26000,1.8826340584793204,0.01438231486827135,0.02032129100203747,161181.831564454,26000,1787305514.4083126
419200,1180.0060642539383,0.31856970019638536,3.4252152400445066e-06,6.184016150009702,26200,1.8971158589291615,0.017008058726787567,0.020355737459030934,162424.105233361,26200,1787306756.137216
422400,1189.0137441337395,0.32436180487275124,3.333923741343395e-06,6.186702725280193,26400,1.9115976593790023,0.025009991601109505,0.020347981226514093,163670.080248372,26400,1787307998.4108896
425600,1198.0214240135406,0.3193793576210737,3.2472010779438687e-06,6.205223606045474,26600,1.9260794598288433,0.021047553047537804,0.020337230946170168,164914.023788273,26600,1787309244.386026
428800,1207.0291038933415,0.3260654391348362,3.1650852892723066e-06,6.194995566511934,26800,1.9405612602786841,0.01986527629196644,0.020392021664301863,166159.480710336,26800,1787310488.3293903
432000,1216.0367837731426,0.32496577642858027,3.087612394027572e-06,6.2026089262129975,27000,1.9550430607285252,0.017633313313126564,0.02034292022435693,167403.069711276,27000,1787311733.7862515
