memory_percent,proc.memory.percent,cpu,proc.cpu.threads,disk./.usagePercent,disk./.usageGB,disk.nvme0n1p2.in,disk.nvme0n1p2.out,network.sent,network.recv,proc.memory.availableMB,proc.memory.rssMB,_timestamp,gpu.0.gpu,gpu.0.memory,gpu.0.memoryAllocated,gpu.0.memoryAllocatedBytes,gpu.0.temp,gpu.0.powerWatts,gpu.0.enforcedPowerLimitWatts,gpu.0.powerPercent,gpu.0.smClock,gpu.0.memoryClock,gpu.0.correctedMemoryErrors,gpu.0.uncorrectedMemoryErrors,gpu.0.fanSpeed,gpu.1.gpu,gpu.1.memory,gpu.1.memoryAllocated,gpu.1.memoryAllocatedBytes,gpu.1.temp,gpu.1.powerWatts,gpu.1.enforcedPowerLimitWatts,gpu.1.powerPercent,gpu.1.smClock,gpu.1.memoryClock,gpu.1.correctedMemoryErrors,gpu.1.uncorrectedMemoryErrors,gpu.1.fanSpeed
,,,,,,,,,,,,1787145739.307884,100.0,73,86.79764152991231,41928294400,83.0,294.153,300.0,98.05100000000002,1560,7601,0,0,53,0.0,0,0.032424893635495354,15663104,55.0,31.545,300.0,10.515,210,405,0,0,30
5.384531576528648,1.966035575382948,4.469725030897232,71,90.5916416657489,1612.8268547058105,0.859375,31.59765625,2008178.0,3229107.0,486827.45703125,10115.89453125,1787145739.3103282,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145754.3084214,100.0,79,86.79764152991231,41928294400,87.0,293.532,300.0,97.844,1680,7601,0,0,60,0.0,0,0.032424893635495354,15663104,55.0,31.304,300.0,10.434666666666665,210,405,0,0,30
5.3714538709139354,1.966036334567066,4.2843691930834105,71,90.5916465939486,1612.8269424438477,0.859375,32.515625,2104653.0,3473539.0,486894.74609375,10115.8984375,1787145754.3097444,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145769.3082356,100.0,73,86.78027589650083,41919905792,89.0,292.146,300.0,97.382,1515,7601,0,0,70,0.0,0,0.032424893635495354,15663104,55.0,24.492,300.0,8.164,210,405,0,0,30
5.384120098736753,1.966036334567066,4.126502086369866,71,90.59164787956591,1612.8269653320312,0.859375,33.3828125,2188892.0,3654152.0,486829.57421875,10115.8984375,1787145769.3103716,,,,,,,,,,,,,,,,,,,,,,,,,,
5.354462571171519,1.966036334567066,3.9891717266023092,71,90.59165280776561,1612.8270530700684,0.859375,33.95703125,2279636.0,3899584.0,486982.171875,10115.8984375,1787145784.3104582,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145784.3120592,100.0,63,86.78027589650083,41919905792,89.0,286.547,300.0,95.51566666666668,1470,7601,0,0,74,0.0,0,0.032424893635495354,15663104,55.0,23.399,300.0,7.799666666666667,210,405,0,0,30
,,,,,,,,,,,,1787145799.308004,100.0,67,86.79764152991231,41928294400,89.0,279.163,300.0,93.05433333333333,1530,7601,0,0,76,0.0,0,0.032424893635495354,15663104,55.0,23.524,300.0,7.841333333333333,210,405,0,0,30
5.3947312151524525,1.966036334567066,3.86951966610417,71,90.5916573074262,1612.827133178711,0.859375,35.1953125,2396732.0,4146887.0,486774.9765625,10115.8984375,1787145799.3098783,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145814.307694,100.0,79,86.79764152991231,41928294400,90.0,280.628,300.0,93.54266666666666,1440,7601,0,0,77,0.0,0,0.032424893635495354,15663104,55.0,22.833,300.0,7.611,210,405,0,0,30
5.418048796149217,1.966036334567066,3.764461325407083,71,90.59165795023486,1612.8271446228027,0.859375,35.76171875,2434398.0,4317623.0,486655,10115.8984375,1787145814.3086994,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145829.3084116,100.0,77,86.79764152991231,41928294400,89.0,279.173,300.0,93.05766666666668,1470,7601,0,0,78,0.0,0,0.032424893635495354,15663104,55.0,23.146,300.0,7.715333333333334,210,405,0,0,30
5.392919042663057,1.966036334567066,3.6707376238545173,71,90.591662664165,1612.8272285461426,0.859375,36.4609375,2534582.0,4573074.0,486784.30078125,10115.8984375,1787145829.3107367,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145844.308102,100.0,72,86.79764152991231,41928294400,89.0,281.613,300.0,93.87100000000001,1485,7601,0,0,79,0.0,0,0.032424893635495354,15663104,55.0,22.919,300.0,7.639666666666667,210,405,0,0,30
5.458875440456799,1.966036334567066,3.5875308509613153,71,90.59166459259097,1612.827262878418,0.859375,36.95703125,2574227.0,4748706.0,486444.93359375,10115.8984375,1787145844.312139,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145859.3076274,100.0,65,86.79764152991231,41928294400,89.0,283.851,300.0,94.61699999999999,1485,7601,0,0,80,0.0,0,0.032424893635495354,15663104,55.0,22.936,300.0,7.645333333333333,210,405,0,0,30
5.434495001694993,1.966036334567066,3.5121719860449665,71,90.59166930652111,1612.8273468017578,0.859375,37.6796875,2671889.0,4985331.0,486570.37890625,10115.8984375,1787145859.3096018,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145874.3079891,100.0,70,86.79764152991231,41928294400,89.0,274.183,300.0,91.39433333333334,1485,7601,0,0,80,0.0,0,0.032424893635495354,15663104,55.0,23.212,300.0,7.737333333333334,210,405,0,0,30
5.423289444114988,1.966036334567066,3.4445361835218318,71,90.59167423472081,1612.827434539795,0.859375,38.95703125,2766117.0,5229862.0,486628.03515625,10115.8984375,1787145874.308947,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145889.307658,100.0,68,86.79764152991231,41928294400,89.0,284.432,300.0,94.81066666666668,1515,7601,0,0,80,0.0,0,0.032424893635495354,15663104,56.0,25.978,300.0,8.659333333333334,210,405,0,0,30
5.426649593020754,1.966036334567066,3.3828625904760994,71,90.59167552033813,1612.8274574279785,0.859375,39.6640625,2848225.0,5398223.0,486610.74609375,10115.8984375,1787145889.309798,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787145904.3077793,100.0,100,86.79764152991231,41928294400,89.0,273.849,300.0,91.28299999999999,1680,7601,0,0,81,0.0,0,0.032424893635495354,15663104,56.0,31.291,300.0,10.430333333333333,210,405,0,0,30
5.428978010710312,1.9660393713035371,3.3265987663934538,71,90.59168066280738,1612.827548980713,0.859375,40.1953125,2944426.0,5649252.0,486598.765625,10115.9140625,1787145904.309856,,,,,,,,,,,,,,,,,,,,,,,,,,
